template,condition,failure_category,count
friend,later_middle_19_21,correct_exact,25
friend,later_middle_19_21,generic_refusal_or_not_provided,23
friend,later_middle_19_21,other_output_failure,7
friend,later_middle_19_21,partial_name,45
friend,middle_12_14,correct_exact,45
friend,middle_12_14,generic_refusal_or_not_provided,9
friend,middle_12_14,other_output_failure,1
friend,middle_12_14,partial_name,45
friend,sparse_union,correct_exact,54
friend,sparse_union,other_output_failure,1
friend,sparse_union,partial_name,45
person_in_list,clean,correct_exact,100
person_in_list,early_5_7,correct_exact,52
person_in_list,early_5_7,other_output_failure,7
person_in_list,early_5_7,partial_name,41
person_in_list,full_intermediate_bottleneck,correct_exact,49
person_in_list,full_intermediate_bottleneck,other_output_failure,11
person_in_list,full_intermediate_bottleneck,partial_name,40
person_in_list,generated_read_block,correct_exact,81
person_in_list,generated_read_block,partial_name,19
person_in_list,late_negative_30_32,correct_exact,50
person_in_list,late_negative_30_32,other_output_failure,11
person_in_list,late_negative_30_32,partial_name,39
person_in_list,later_middle_19_21,correct_exact,56
person_in_list,later_middle_19_21,other_output_failure,5
person_in_list,later_middle_19_21,partial_name,39
person_in_list,middle_12_14,correct_exact,59
person_in_list,middle_12_14,other_output_failure,6
person_in_list,middle_12_14,partial_name,35
person_in_list,sparse_union,correct_exact,71
person_in_list,sparse_union,other_output_failure,1
person_in_list,sparse_union,partial_name,28
visitor_register,clean,correct_exact,96
visitor_register,clean,correct_identity_strict_form_change,3
visitor_register,clean,other_output_failure,1
visitor_register,early_5_7,correct_exact,58
visitor_register,early_5_7,correct_identity_strict_form_change,2
visitor_register,early_5_7,generic_refusal_or_not_provided,1
visitor_register,early_5_7,partial_name,39
visitor_register,full_intermediate_bottleneck,correct_exact,57
visitor_register,full_intermediate_bottleneck,correct_identity_strict_form_change,2
visitor_register,full_intermediate_bottleneck,other_output_failure,1
visitor_register,full_intermediate_bottleneck,partial_name,40
visitor_register,generated_read_block,correct_exact,63
visitor_register,generated_read_block,correct_identity_strict_form_change,3
visitor_register,generated_read_block,generic_refusal_or_not_provided,1
visitor_register,generated_read_block,other_output_failure,1
visitor_register,generated_read_block,partial_name,32
visitor_register,late_negative_30_32,correct_exact,57
visitor_register,late_negative_30_32,correct_identity_strict_form_change,2
visitor_register,late_negative_30_32,other_output_failure,2
visitor_register,late_negative_30_32,partial_name,39
visitor_register,later_middle_19_21,correct_exact,58
visitor_register,later_middle_19_21,correct_identity_strict_form_change,2
visitor_register,later_middle_19_21,generic_refusal_or_not_provided,1
visitor_register,later_middle_19_21,partial_name,39
visitor_register,middle_12_14,correct_exact,58
visitor_register,middle_12_14,correct_identity_strict_form_change,2
visitor_register,middle_12_14,generic_refusal_or_not_provided,1
visitor_register,middle_12_14,other_output_failure,1
visitor_register,middle_12_14,partial_name,38
visitor_register,sparse_union,correct_exact,58
visitor_register,sparse_union,correct_identity_strict_form_change,2
visitor_register,sparse_union,generic_refusal_or_not_provided,1
visitor_register,sparse_union,other_output_failure,1
visitor_register,sparse_union,partial_name,38
